Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Sales,Profit,Discount,Month,Year,Quarter,Profit_Margin
1,C0486,P071,2024-08-19,3,22192.21,6736.21,10,August,2024,3,30.35
2,C0445,P006,2025-12-14,3,55022.0,18746.0,5,December,2025,4,34.07
3,C0453,P023,2025-07-08,1,8696.78,1483.78,10,July,2025,3,17.06
4,C0076,P012,2024-08-20,4,70041.54,30713.54,20,August,2024,3,43.85
5,C0049,P090,2025-06-19,5,4942.95,787.95,15,June,2025,2,15.94
6,C0048,P053,2025-08-09,4,10914.82,4774.82,15,August,2025,3,43.75
7,C0215,P001,2025-02-08,2,16639.1,5239.1,0,February,2025,1,31.49
8,C0119,P037,2025-08-08,1,16126.35,5203.35,20,August,2025,3,32.27
9,C0011,P078,2024-06-26,5,27663.9,5458.9,15,June,2024,2,19.73
10,C0449,P002,2024-05-09,2,10288.73,4514.73,5,May,2024,2,43.88
11,C0236,P065,2024-07-25,1,15044.34,4488.34,15,July,2024,3,29.83
12,C0585,P025,2024-11-23,2,3306.5,1352.5,10,November,2024,4,40.9
13,C0510,P085,2025-02-10,1,17624.34,3017.34,20,February,2025,1,17.12
14,C0137,P005,2025-06-16,5,18631.92,4951.92,10,June,2025,2,26.58
15,C0212,P080,2025-12-18,4,74148.74,31684.74,0,December,2025,4,42.73
16,C0170,P038,2024-04-25,5,36092.14,12532.14,15,April,2024,2,34.72
17,C0587,P062,2025-08-25,4,2599.31,515.31,20,August,2025,3,19.82
18,C0432,P011,2024-04-18,5,46298.2,18118.2,0,April,2024,2,39.13
19,C0074,P057,2025-07-02,5,85659.88,33954.88,10,July,2025,3,39.64
20,C0491,P018,2025-01-27,3,36990.12,15492.12,10,January,2025,1,41.88
21,C0378,P016,2024-02-08,4,70867.89,24299.89,15,February,2024,1,34.29
22,C0104,P088,2025-09-25,2,8388.77,2076.77,5,September,2025,3,24.76
23,C0513,P084,2024-02-09,5,49193.2,18303.2,15,February,2024,1,37.21
24,C0163,P063,2025-12-08,4,24126.0,10166.0,10,December,2025,4,42.14
25,C0347,P030,2024-10-02,2,16087.55,2477.55,15,October,2024,4,15.4
